,ToZone,Trips,Hour
482,100536,123.266028,h5
483,100537,25.995508,h5
484,100538,479.747454,h5
485,100539,293.868775,h5
486,100540,90.907971,h5
487,100541,459.862152,h5
488,100542,48.878142,h5
489,100543,81.523004,h5
490,100544,245.906891,h5
491,100545,511.416596,h5
492,100546,158.886345,h5
493,100547,209.292325,h5
494,100548,565.872035,h5
495,100549,347.966562,h5
496,100550,35.716639,h5
497,100551,6.437109,h5
498,100552,17.111945,h5
499,100553,18.5529,h5
500,100554,89.763185,h5
501,100555,195.005265,h5
502,100556,17.57737,h5
503,100557,216.093514,h5
504,100558,141.842505,h5
505,100559,249.872167,h5
506,100560,16.90505,h5
507,100561,41.128593,h5
508,100562,188.255393,h5
509,100563,183.096403,h5
510,100564,2.887275,h5
511,100565,468.944274,h5
512,100566,95.220012,h5
513,100569,40.064064,h5
514,100570,36.844425,h5
515,100571,19.974134,h5
516,100572,109.997089,h5
517,100573,86.806394,h5
518,100574,178.015671,h5
519,100575,190.774264,h5
520,100576,67.171685,h5
521,100577,109.488114,h5
522,100578,194.471011,h5
523,100579,46.119677,h5
524,100580,120.434419,h5
525,100581,284.475238,h5
526,100582,116.69651,h5
527,100583,24.927958,h5
528,100584,202.697591,h5
529,100585,4.890718,h5
530,100586,53.008742,h5
531,100587,280.082046,h5
532,100598,164.769325,h5
533,100667,121.815746,h5
534,100668,27.878754,h5
535,100669,76.200164,h5
536,100793,39.82448,h5
537,100799,257.505205,h5
538,101258,85.850898,h5
539,101260,280.455095,h5
540,100439,829.964096,h6
541,100505,801.911299,h6
542,100506,215.810506,h6
543,100507,41.991994,h6
544,100508,175.731103,h6
545,100509,533.882395,h6
546,100510,264.663531,h6
547,100511,184.728751,h6
548,100512,255.453244,h6
549,100513,164.243382,h6
550,100514,705.348087,h6
551,100515,519.448265,h6
552,100516,334.320885,h6
553,100517,296.119477,h6
554,100518,1559.178563,h6
555,100519,529.020541,h6
556,100520,556.138272,h6
557,100521,859.12066,h6
558,100522,575.53417,h6
559,100523,283.306059,h6
560,100524,165.479138,h6
561,100525,232.067848,h6
562,100526,248.549971,h6
563,100527,547.497128,h6
564,100528,476.008369,h6
565,100529,324.583267,h6
566,100530,314.936248,h6
567,100531,663.50473,h6
568,100532,177.674107,h6
569,100533,245.440668,h6
570,100534,287.46224,h6
571,100535,439.213843,h6
572,100536,360.54248,h6
573,100537,73.621362,h6
574,100538,2182.706109,h6
575,100539,801.084591,h6
576,100540,453.308141,h6
577,100541,2741.821571,h6
578,100542,130.959823,h6
579,100543,340.300857,h6
580,100544,919.478553,h6
581,100545,1387.318477,h6
582,100546,488.406678,h6
583,100547,664.322424,h6
584,100548,1769.820718,h6
585,100549,1876.95177,h6
586,100550,143.290206,h6
587,100551,17.525579,h6
588,100552,52.989397,h6
589,100553,55.403853,h6
590,100554,206.612785,h6
591,100555,886.697071,h6
592,100556,86.88883,h6
593,100557,141.82977,h6
594,100558,202.445706,h6
595,100559,871.627467,h6
596,100560,43.442057,h6
597,100561,166.607601,h6
598,100562,599.381682,h6
